,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
28700,516,South Africa,Sri Lanka,2,155,6,8.09,Colombo,163,5,34.0
41983,1006,India,Pakistan,1,20,10,10.0,Dubai,181,108,37.0
11147,128,Pakistan,Pakistan,0,96,8,8.0,Cardiff,173,48,38.0
26337,469,West Indies,South Africa,0,101,4,6.52,St George's,167,27,38.0
73413,2351,Australia,England,1,93,6,6.13,Barbados,147,29,34.0
77987,2399,South Africa,South Africa,1,147,4,7.35,Wellington,147,0,33.0
27586,481,Australia,Sri Lanka,2,147,4,7.81,Sydney,164,7,33.0
61082,2236,West Indies,West Indies,0,157,3,8.05,Johannesburg,164,3,32.0
27552,481,Australia,Sri Lanka,1,112,7,8.2,Sydney,164,38,26.0
26784,473,Australia,West Indies,1,43,9,7.82,Gros Islet,141,87,27.0
75917,2379,Pakistan,South Africa,4,35,7,5.83,Abu Dhabi,120,84,28.0
29123,520,Bangladesh,New Zealand,0,90,7,6.67,Dhaka,141,39,21.0
31235,574,Bangladesh,Australia,4,14,7,4.42,Dubai,73,101,21.0
17031,222,New Zealand,India,1,132,5,6.6,Auckland,132,0,20.0
11110,128,Pakistan,Pakistan,0,36,8,6.17,Cardiff,173,85,22.0
83819,2462,India,England,4,143,5,8.41,Mumbai,177,18,25.0
7890,85,Bangladesh,India,1,78,6,6.32,Colombo,139,46,25.0
80739,2428,New Zealand,New Zealand,0,0,10,0.0,Pallekele,148,119,25.0
51205,1531,West Indies,New Zealand,1,104,2,6.3,Tarouba,149,21,25.0
36231,759,India,Bangladesh,6,10,10,5.0,Adelaide,184,108,29.0
21620,412,New Zealand,Bangladesh,4,20,9,7.5,Hamilton,210,104,29.0
9683,116,South Africa,Pakistan,1,38,10,7.12,Johannesburg,188,88,30.0
27008,475,West Indies,Australia,0,2,10,4.0,Gros Islet,199,117,29.0
49598,1345,Australia,New Zealand,0,138,4,9.86,Auckland,174,36,29.0
11788,133,New Zealand,India,1,122,6,8.04,Auckland,158,29,30.0
41941,1004,Bangladesh,Sri Lanka,2,123,6,8.2,Dubai,183,30,30.0
98283,2627,Sri Lanka,West Indies,0,91,9,9.41,Pallekele,215,62,32.0
61038,2236,West Indies,West Indies,0,89,9,7.32,Johannesburg,164,47,34.0
43635,1058,England,New Zealand,1,172,4,8.97,Nottingham,175,5,34.0
59951,2224,West Indies,West Indies,1,91,5,5.46,Auckland,126,20,35.0
48316,1335,India,South Africa,0,1,10,2.0,Johannesburg,201,117,40.0
84132,2466,Australia,Australia,1,71,9,10.14,Southampton,248,78,39.0
46847,1228,Australia,West Indies,0,29,9,7.57,Adelaide,241,97,39.0
26139,468,South Africa,West Indies,0,42,9,10.08,St George's,167,95,40.0
96415,2612,India,India,1,61,8,8.13,Adelaide,188,75,44.0
7540,82,Bangladesh,Sri Lanka,4,166,7,9.67,Dhaka,193,17,40.0
35568,744,Pakistan,India,1,116,4,7.25,Melbourne,159,24,40.0
72148,2341,New Zealand,Pakistan,1,75,6,6.16,Barbados,133,47,36.0
52872,1644,New Zealand,Pakistan,4,37,10,11.68,Lahore,178,101,36.0
102148,2690,Sri Lanka,Sri Lanka,0,62,6,5.1,Mirpur,138,47,36.0
75190,2371,Australia,Sri Lanka,1,22,9,4.55,Perth,133,91,35.0
80252,2424,New Zealand,New Zealand,0,1,10,2.0,Pallekele,174,117,37.0
7864,85,Bangladesh,India,1,60,8,7.06,Colombo,139,69,33.0
30165,562,New Zealand,Pakistan,0,58,7,6.11,Sharjah,134,63,33.0
31886,583,Pakistan,Australia,1,91,9,7.28,Dubai,176,45,33.0
31832,583,Pakistan,Australia,0,29,10,7.25,Dubai,176,96,34.0
89056,2515,Pakistan,Pakistan,2,40,8,6.32,Harare,161,82,36.0
62246,2247,New Zealand,New Zealand,0,31,6,5.17,Durban,164,84,37.0
80866,2429,West Indies,West Indies,0,0,10,0.0,Pallekele,129,117,37.0
53098,1645,Pakistan,New Zealand,1,159,7,8.75,Lahore,178,11,38.0
77545,2394,Sri Lanka,Australia,4,66,9,8.61,Pallekele,157,74,40.0
62583,2250,New Zealand,New Zealand,1,2,10,2.0,Durban,153,114,40.0
46663,1226,England,West Indies,0,107,6,7.83,Tarouba,132,38,40.0
14415,176,Pakistan,Pakistan,1,64,6,5.73,Perth,106,53,35.0
31784,582,England,New Zealand,6,127,7,7.7,Abu Dhabi,166,21,36.0
12847,142,West Indies,India,0,31,7,5.17,Kolkata,109,84,37.0
102586,2696,Australia,Australia,6,98,9,11.31,Pallekele,263,68,34.0
24997,446,England,West Indies,0,7,10,3.23,Bridgetown,171,107,34.0
94411,2579,South Africa,South Africa,1,17,8,4.86,Melbourne,101,99,34.0
59027,2200,Bangladesh,Pakistan,4,76,10,9.7,Lahore,196,73,33.0
74211,2358,Pakistan,Pakistan,1,25,6,3.75,Cardiff,89,80,32.0
79577,2413,West Indies,West Indies,6,128,4,6.74,Mirpur,132,6,31.0
89059,2515,Pakistan,Pakistan,0,42,8,6.15,Harare,161,79,31.0
75205,2371,Australia,Sri Lanka,1,32,6,4.36,Perth,133,76,30.0
82476,2443,Pakistan,Pakistan,0,6,10,6.0,Mirpur,135,114,30.0
3308,31,New Zealand,Australia,1,85,6,9.44,Auckland,150,66,30.0
79610,2417,New Zealand,New Zealand,2,23,9,5.52,Pallekele,191,95,30.0
25945,466,South Africa,West Indies,1,104,7,8.0,St George's,160,42,34.0
16308,216,New Zealand,England,4,102,6,7.03,Christchurch,153,33,33.0
84835,2473,Pakistan,Pakistan,4,35,9,7.5,Centurion,195,92,29.0
25674,464,India,Sri Lanka,0,55,9,5.89,Colombo,132,64,33.0
84511,2470,New Zealand,New Zealand,0,41,4,4.39,Durban,86,64,32.0
40100,982,Pakistan,New Zealand,0,107,5,6.42,Christchurch,130,20,32.0
68395,2305,Pakistan,South Africa,0,33,8,7.62,Nottingham,149,94,29.0
67625,2298,New Zealand,Pakistan,4,99,1,5.45,London,99,11,28.0
34933,712,Pakistan,West Indies,4,127,8,9.07,Karachi,200,36,24.0
36077,755,India,South Africa,0,107,4,6.42,Perth,133,20,25.0
74983,2369,Pakistan,Pakistan,2,60,6,5.29,Dubai,129,52,27.0
96826,2615,England,Pakistan,1,95,7,6.87,Dubai,160,37,26.0
60292,2227,New Zealand,Sri Lanka,0,108,7,9.0,Wellington,162,48,25.0
74112,2357,Pakistan,Pakistan,0,61,7,5.9,Cardiff,126,58,25.0
17991,247,Sri Lanka,New Zealand,4,116,6,7.82,Kandy,161,31,21.0
12178,136,Pakistan,Australia,1,131,5,7.63,Abu Dhabi,155,17,20.0
5803,66,India,England,0,22,7,4.55,Cardiff,148,91,20.0
54764,1738,England,West Indies,0,56,9,9.88,Gros Islet,218,86,20.0
97063,2617,England,Pakistan,0,81,5,6.75,Sharjah,154,48,21.0
62434,2248,Australia,Pakistan,1,148,6,8.88,Johannesburg,164,20,22.0
73500,2352,Bangladesh,Bangladesh,4,51,5,5.46,Hamilton,78,64,22.0
25957,466,South Africa,West Indies,1,113,6,7.62,St George's,160,31,21.0
89328,2523,New Zealand,West Indies,1,81,7,7.59,Auckland,189,56,22.0
3292,31,New Zealand,Australia,1,64,8,10.11,Auckland,150,82,22.0
56319,1826,India,Sri Lanka,1,125,8,10.71,Kandy,213,50,22.0
22832,425,Pakistan,South Africa,1,69,7,6.79,Lahore,144,59,23.0
79886,2420,Pakistan,Pakistan,1,11,10,4.71,Pallekele,177,106,25.0
85118,2475,New Zealand,England,6,93,9,8.86,Hamilton,192,57,24.0
71307,2332,Australia,Pakistan,3,172,6,9.83,St Lucia,191,15,22.0
31642,579,South Africa,England,1,104,8,7.9,Sharjah,189,41,28.0
12646,140,New Zealand,Pakistan,1,85,6,6.54,Dubai,153,42,30.0
84823,2473,Pakistan,Pakistan,0,17,10,6.38,Centurion,195,104,31.0
80397,2425,West Indies,West Indies,0,37,10,9.25,Pallekele,179,96,25.0
