,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
41918,1004,Bangladesh,Sri Lanka,0,88,6,7.88,Dubai,183,53,36.0
46516,1225,England,West Indies,0,117,9,11.9,Tarouba,267,61,38.0
66275,2286,England,Pakistan,0,5,10,6.0,London,185,115,37.0
63417,2256,India,India,4,113,8,7.98,Durban,188,35,38.0
35327,715,Pakistan,Australia,0,132,5,7.54,Lahore,162,15,32.0
29847,559,Bangladesh,Sri Lanka,0,150,6,8.11,Sharjah,171,9,32.0
49232,1342,Pakistan,New Zealand,1,120,6,7.35,Christchurch,158,22,30.0
91930,2556,Bangladesh,Australia,0,53,8,6.24,Mirpur,153,69,30.0
16986,222,New Zealand,India,1,83,6,6.47,Auckland,132,43,30.0
39450,977,India,New Zealand,1,89,8,7.74,Mount Maunganui,191,51,30.0
37073,768,Pakistan,England,0,129,3,6.97,Melbourne,137,9,30.0
21038,407,New Zealand,Australia,1,57,7,6.11,Christchurch,184,64,29.0
93673,2573,South Africa,West Indies,6,53,10,10.6,Durban,195,90,30.0
96936,2616,England,Pakistan,1,82,7,6.93,Dubai,172,49,33.0
46683,1226,England,West Indies,0,121,4,7.12,Tarouba,132,18,33.0
84831,2473,Pakistan,Pakistan,0,29,9,7.25,Centurion,195,96,29.0
45610,1172,Bangladesh,England,4,36,10,8.31,Dhaka,158,94,29.0
57078,1832,Pakistan,New Zealand,0,57,5,4.96,Christchurch,91,51,29.0
35310,715,Pakistan,Australia,1,111,7,7.57,Lahore,162,32,28.0
97107,2617,England,Pakistan,4,140,4,7.57,Sharjah,154,9,26.0
79956,2420,Pakistan,Pakistan,0,123,8,8.89,Pallekele,177,37,26.0
42289,1008,Pakistan,Sri Lanka,0,66,8,6.6,Dubai,121,60,23.0
74084,2357,Pakistan,Pakistan,0,44,9,7.76,Cardiff,126,86,23.0
79373,2412,England,Pakistan,4,43,8,6.97,Abu Dhabi,129,83,26.0
26652,472,West Indies,Australia,1,38,9,7.35,Gros Islet,196,89,25.0
49555,1345,Australia,New Zealand,6,94,8,12.53,Auckland,174,75,25.0
81522,2434,Pakistan,Pakistan,1,34,8,5.23,Colombo,149,81,24.0
63409,2256,India,India,1,91,8,7.09,Durban,188,43,21.0
98429,2628,West Indies,West Indies,1,102,6,8.05,Colombo,162,44,27.0
76186,2383,Pakistan,Pakistan,0,68,4,7.16,Auckland,143,63,27.0
96677,2614,Australia,India,1,80,7,8.0,Sydney,197,60,28.0
18420,277,England,Australia,0,21,9,4.67,Southampton,145,93,27.0
43402,1057,New Zealand,England,1,15,10,7.5,Birmingham,202,108,27.0
27395,480,Australia,Sri Lanka,2,55,9,6.73,Sydney,149,71,28.0
40467,985,New Zealand,Pakistan,1,134,7,8.65,Christchurch,163,27,29.0
3893,44,Bangladesh,Bangladesh,4,39,9,9.75,Colombo,155,96,30.0
31221,574,Bangladesh,Australia,0,2,9,2.0,Dubai,73,114,32.0
10204,120,South Africa,Sri Lanka,1,51,9,6.38,Johannesburg,198,72,33.0
5621,64,England,Australia,4,172,7,11.1,Birmingham,221,27,33.0
60656,2230,West Indies,West Indies,0,115,7,9.45,London,208,47,32.0
65469,2276,Australia,South Africa,1,102,8,10.03,Melbourne,182,59,28.0
97487,2621,England,Pakistan,0,2,10,2.0,Manchester,135,114,31.0
41058,996,England,Pakistan,4,91,8,8.53,Karachi,199,56,35.0
89870,2527,New Zealand,New Zealand,1,199,7,10.38,Mirpur,204,5,39.0
46492,1225,England,West Indies,0,64,10,10.67,Tarouba,267,84,38.0
92965,2564,Bangladesh,Sri Lanka,0,85,3,5.48,Chittagong,120,27,39.0
83802,2462,India,England,0,108,5,7.62,Mumbai,177,35,38.0
87387,2501,England,England,4,34,8,7.56,Melbourne,130,93,38.0
7913,85,Bangladesh,India,0,107,5,6.98,Colombo,139,28,33.0
97930,2624,Pakistan,Pakistan,1,95,7,7.22,Auckland,171,41,32.0
88359,2509,South Africa,Australia,1,10,9,3.75,Durban,80,104,32.0
25000,446,England,West Indies,1,14,10,5.25,Bridgetown,171,104,33.0
11520,131,West Indies,West Indies,1,133,6,11.24,Dhaka,190,49,32.0
97501,2621,England,Pakistan,0,18,10,5.68,Manchester,135,101,26.0
88844,2513,Sri Lanka,Sri Lanka,0,84,6,6.15,Dubai,145,38,25.0
88488,2510,South Africa,Australia,0,103,3,6.24,Centurion,128,21,24.0
30464,565,Sri Lanka,Australia,4,134,5,7.58,Dubai,154,14,28.0
59651,2222,Sri Lanka,Sri Lanka,4,81,8,9.35,Southampton,163,68,26.0
38439,864,India,West Indies,1,91,7,8.27,Tarouba,190,54,24.0
7557,82,Bangladesh,Sri Lanka,1,187,5,9.51,Dhaka,193,2,27.0
66744,2290,South Africa,South Africa,1,99,5,5.94,London,128,20,27.0
61616,2242,Bangladesh,Bangladesh,0,63,6,11.12,Cape Town,144,86,28.0
99699,2653,Pakistan,Pakistan,4,46,9,5.02,Kolkata,118,65,28.0
46921,1228,Australia,West Indies,0,165,6,10.65,Adelaide,241,27,28.0
95659,2590,Sri Lanka,Pakistan,2,46,8,8.12,Colombo,172,86,24.0
25993,467,South Africa,West Indies,1,3,10,3.6,St George's,166,115,20.0
67882,2301,England,West Indies,4,5,10,6.0,London,161,115,24.0
15128,202,Australia,Australia,1,61,10,12.62,Cape Town,193,91,24.0
90873,2545,West Indies,West Indies,2,171,3,8.55,Mirpur,171,0,25.0
22385,421,Pakistan,England,6,205,7,11.39,Nottingham,232,12,26.0
47103,1253,West Indies,India,4,34,8,7.29,Tarouba,149,92,27.0
76376,2384,New Zealand,Pakistan,0,185,3,9.25,Hamilton,185,0,27.0
63535,2257,India,Pakistan,2,98,8,7.54,Johannesburg,157,42,26.0
36271,759,India,Bangladesh,1,57,9,6.71,Adelaide,184,69,47.0
46463,1225,England,West Indies,0,12,10,10.29,Tarouba,267,113,46.0
76334,2384,New Zealand,Pakistan,1,96,7,7.38,Hamilton,185,42,49.0
38485,864,India,West Indies,1,153,4,8.5,Tarouba,190,12,52.0
92145,2558,Sri Lanka,West Indies,1,24,10,9.6,Mirpur,160,105,52.0
97857,2624,Pakistan,Pakistan,0,1,10,0.75,Auckland,171,112,54.0
11082,128,Pakistan,Pakistan,4,10,10,8.57,Cardiff,173,113,50.0
6425,71,Sri Lanka,Pakistan,1,95,1,5.28,Abu Dhabi,102,12,50.0
47910,1328,Pakistan,England,1,125,5,9.04,London,157,37,51.0
73093,2349,Sri Lanka,Sri Lanka,4,30,7,6.0,St Lucia,128,90,56.0
17899,246,Sri Lanka,New Zealand,0,159,6,8.15,Kandy,174,3,58.0
58865,2199,Pakistan,Bangladesh,0,10,10,5.45,Lahore,201,109,54.0
44241,1075,New Zealand,Pakistan,0,25,9,5.77,Lahore,163,94,54.0
43440,1057,New Zealand,England,1,64,9,8.0,Birmingham,202,72,54.0
30637,567,Sri Lanka,South Africa,0,26,9,5.2,Sharjah,142,90,53.0
81726,2435,India,South Africa,1,152,4,7.6,Colombo,152,0,53.0
89633,2526,Sri Lanka,Sri Lanka,0,5,10,10.0,London,183,117,52.0
7876,85,Bangladesh,India,1,71,7,6.76,Colombo,139,57,52.0
9458,112,Australia,Pakistan,0,84,10,9.51,Harare,183,67,48.0
15205,202,Australia,Australia,1,155,7,9.21,Cape Town,193,19,44.0
8440,89,Sri Lanka,Bangladesh,1,158,3,7.97,Colombo,159,1,45.0
65012,2272,Australia,Australia,2,66,7,6.29,Manchester,145,57,44.0
60636,2230,West Indies,West Indies,1,88,9,9.96,London,208,67,38.0
40597,986,Sri Lanka,New Zealand,6,159,7,10.15,Auckland,196,26,38.0
72458,2344,Australia,Sri Lanka,4,11,9,6.0,Barbados,168,109,40.0
101935,2687,Pakistan,Pakistan,1,71,2,4.63,Mirpur,83,28,36.0
30014,561,West Indies,South Africa,1,37,10,7.16,Dubai,143,89,37.0
22535,423,Pakistan,England,4,7,10,3.82,Manchester,154,109,37.0
96908,2616,England,Pakistan,1,50,8,6.82,Dubai,172,76,35.0
47523,1256,West Indies,India,2,101,6,8.66,Lauderhill,178,50,35.0
85907,2481,Sri Lanka,Sri Lanka,1,161,6,8.05,Melbourne,161,0,37.0
11807,133,New Zealand,India,1,145,5,8.06,Auckland,158,12,36.0
59763,2223,Australia,South Africa,1,53,10,8.15,Brisbane,209,81,30.0
12004,135,New Zealand,Sri Lanka,0,52,6,5.47,Auckland,179,63,29.0
23476,430,India,England,1,127,6,8.56,Ahmedabad,185,31,29.0
5117,57,Pakistan,New Zealand,1,121,8,9.19,Auckland,201,41,27.0
60565,2229,South Africa,India,0,108,4,6.23,Johannesburg,126,16,26.0
61354,2240,India,Pakistan,0,14,8,4.42,Durban,141,101,26.0
12202,137,Pakistan,Australia,2,6,10,5.14,Dubai,147,113,30.0
24179,436,Pakistan,South Africa,1,60,8,6.67,Johannesburg,140,66,29.0
56524,1828,India,Sri Lanka,1,16,7,4.36,Kandy,137,98,31.0
102602,2696,Australia,Australia,2,124,9,10.94,Pallekele,263,52,37.0
75918,2379,Pakistan,South Africa,0,35,7,5.68,Abu Dhabi,120,83,42.0
32216,606,India,England,2,49,10,10.5,Birmingham,170,92,40.0
7840,85,Bangladesh,India,0,27,9,6.0,Colombo,139,93,40.0
92187,2558,Sri Lanka,West Indies,0,64,7,6.74,Mirpur,160,63,39.0
24036,435,South Africa,Pakistan,1,39,8,7.31,Johannesburg,188,88,40.0
4103,45,Bangladesh,Bangladesh,1,153,5,8.83,Colombo,176,16,41.0
32026,584,New Zealand,Australia,0,114,8,7.6,Dubai,172,30,36.0
66789,2292,Sri Lanka,West Indies,0,36,10,9.39,Nottingham,192,97,40.0
19950,368,Sri Lanka,West Indies,1,98,5,6.76,Kandy,155,33,43.0
63455,2257,India,Pakistan,1,2,10,6.0,Johannesburg,157,118,42.0
44625,1138,India,Sri Lanka,1,47,7,6.71,Mumbai,162,78,42.0
35558,744,Pakistan,India,0,100,5,6.9,Melbourne,159,33,42.0
67723,2299,Sri Lanka,Sri Lanka,1,104,6,6.71,London,144,27,39.0
43623,1058,England,New Zealand,1,150,5,8.74,Nottingham,175,17,45.0
82789,2445,West Indies,Australia,0,115,7,10.3,Barbados,160,53,49.0
97792,2623,Sri Lanka,Sri Lanka,0,67,5,6.09,Auckland,142,54,49.0
40529,986,Sri Lanka,New Zealand,1,65,8,12.58,Auckland,196,89,49.0
62476,2249,Sri Lanka,Sri Lanka,4,25,9,6.82,Johannesburg,147,98,50.0
86675,2493,Sri Lanka,Bangladesh,1,92,7,8.12,Pallekele,198,52,50.0
100591,2660,New Zealand,New Zealand,1,113,6,6.85,Kolkata,145,21,56.0
8697,92,Pakistan,West Indies,2,10,10,7.5,Karachi,205,112,56.0
59609,2222,Sri Lanka,Sri Lanka,4,10,10,5.0,Southampton,163,108,52.0
27569,481,Australia,Sri Lanka,4,132,6,8.0,Sydney,164,21,47.0
78035,2400,New Zealand,South Africa,0,58,9,7.57,Hamilton,173,74,47.0
63902,2260,New Zealand,New Zealand,1,93,5,5.94,Manchester,123,26,48.0
5071,57,Pakistan,New Zealand,4,57,10,9.77,Auckland,201,85,47.0
62309,2247,New Zealand,New Zealand,0,134,4,8.2,Durban,164,22,50.0
9579,115,South Africa,Pakistan,1,71,9,8.35,Cape Town,192,69,48.0
90823,2545,West Indies,West Indies,0,97,9,8.08,Mirpur,171,48,46.0
87580,2502,Australia,England,2,139,6,8.97,Sydney,195,27,51.0
20340,393,Australia,India,2,148,8,8.97,Sydney,186,21,49.0
19880,368,Sri Lanka,West Indies,0,17,9,5.37,Kandy,155,101,45.0
70766,2326,Australia,Pakistan,2,63,8,8.22,Melbourne,127,74,42.0
23472,430,India,England,0,120,6,8.47,Ahmedabad,185,35,43.0
32008,584,New Zealand,Australia,1,81,8,6.75,Dubai,172,48,42.0
78713,2405,West Indies,West Indies,1,112,4,6.46,London,125,16,50.0
2031,21,West Indies,West Indies,1,51,8,9.27,Lauderhill,143,87,52.0
78517,2404,Pakistan,Pakistan,1,34,8,6.18,Harare,141,87,48.0
71481,2336,Australia,Bangladesh,1,32,8,6.0,Barbados,141,88,48.0
92137,2558,Sri Lanka,West Indies,2,7,10,6.0,Mirpur,160,113,47.0
95597,2589,Pakistan,Pakistan,2,120,7,7.66,Colombo,175,26,51.0
35091,713,Pakistan,West Indies,0,164,3,8.48,Karachi,172,4,51.0
62653,2250,New Zealand,New Zealand,0,90,6,7.4,Durban,153,47,50.0
47917,1328,Pakistan,England,0,126,3,8.4,London,157,30,53.0
14857,200,Australia,Australia,4,20,9,10.0,Johannesburg,196,108,52.0
20130,392,Australia,India,0,31,10,9.79,Sydney,194,101,50.0
30613,567,Sri Lanka,South Africa,1,5,10,5.0,Sharjah,142,114,50.0
2198,22,West Indies,West Indies,1,50,2,4.0,Dubai,115,45,50.0
60026,2225,South Africa,Australia,0,67,9,7.73,Johannesburg,201,68,57.0
44225,1075,New Zealand,Pakistan,1,16,10,9.6,Lahore,163,110,52.0
83549,2460,India,India,1,107,8,8.02,Pallekele,155,40,51.0
96572,2613,India,India,1,108,9,8.42,Melbourne,184,43,50.0
76383,2385,Pakistan,Pakistan,0,5,10,4.29,Christchurch,183,113,50.0
75247,2371,Australia,Sri Lanka,1,77,5,5.44,Perth,133,35,54.0
76968,2389,West Indies,Pakistan,0,118,7,7.3,St Lucia,150,23,53.0
5130,57,Pakistan,New Zealand,1,137,8,9.13,Auckland,201,30,53.0
94190,2577,New Zealand,Pakistan,1,54,8,6.48,Dubai,144,70,50.0
72455,2344,Australia,Sri Lanka,1,4,9,3.0,Barbados,168,112,48.0
29882,560,India,Pakistan,2,23,8,5.52,Dubai,151,95,48.0
38020,860,Australia,West Indies,1,136,6,8.33,Brisbane,178,22,48.0
95720,2590,Sri Lanka,Pakistan,1,115,5,7.34,Colombo,172,26,48.0
87973,2505,England,England,6,165,4,8.25,Barbados,165,0,49.0
70320,2322,New Zealand,New Zealand,6,108,7,7.12,Colombo,141,29,49.0
98838,2638,South Africa,Sri Lanka,4,62,6,7.02,Johannesburg,113,67,50.0
71167,2331,India,South Africa,1,106,8,7.31,St Lucia,186,33,48.0
41513,1000,Pakistan,England,2,34,8,6.58,Lahore,169,89,53.0
79572,2413,West Indies,West Indies,0,115,4,6.33,Mirpur,132,11,53.0
82725,2445,West Indies,Australia,4,14,10,12.0,Barbados,160,113,51.0
44089,1073,Pakistan,New Zealand,2,181,2,9.28,Lahore,182,3,52.0
92728,2562,Pakistan,Pakistan,0,152,7,8.77,Cape Town,176,16,52.0
79651,2417,New Zealand,New Zealand,0,84,9,7.64,Pallekele,191,54,50.0
89025,2515,Pakistan,Pakistan,0,14,9,6.46,Harare,161,107,51.0
79556,2413,West Indies,West Indies,0,104,7,6.64,Mirpur,132,26,55.0
73707,2354,New Zealand,Australia,1,62,9,10.33,Christchurch,214,84,58.0
79629,2417,New Zealand,New Zealand,2,48,9,6.55,Pallekele,191,76,56.0
95188,2586,New Zealand,New Zealand,4,90,9,8.85,Durban,151,59,56.0
75439,2373,Australia,England,1,50,9,9.68,Melbourne,147,89,57.0
83577,2460,India,India,6,141,7,7.91,Pallekele,155,13,62.0
37924,860,Australia,West Indies,0,8,10,9.6,Brisbane,178,115,60.0
9879,117,Pakistan,Pakistan,1,131,4,8.02,Centurion,168,22,61.0
5104,57,Pakistan,New Zealand,1,102,8,9.0,Auckland,201,52,64.0
63767,2259,India,India,2,48,5,4.43,Melbourne,74,55,58.0
74167,2357,Pakistan,Pakistan,1,121,6,6.26,Cardiff,126,4,64.0
61029,2236,West Indies,West Indies,2,77,9,7.22,Johannesburg,164,56,72.0
21374,410,Australia,New Zealand,0,20,9,5.71,Wellington,156,99,72.0
36818,766,New Zealand,Pakistan,2,131,6,7.42,Sydney,152,14,72.0
33563,616,India,New Zealand,4,173,3,8.95,Kolkata,184,4,72.0
46550,1225,England,West Indies,6,194,8,12.52,Tarouba,267,27,72.0
64540,2265,England,England,1,185,4,9.65,Christchurch,193,5,70.0
33719,618,India,West Indies,0,18,9,5.68,Kolkata,186,101,62.0
17955,247,Sri Lanka,New Zealand,0,58,8,6.57,Kandy,161,67,59.0
55728,1805,England,India,6,109,3,6.74,Kolkata,132,23,63.0
96525,2613,India,India,2,46,10,8.9,Melbourne,184,89,64.0
71990,2340,Sri Lanka,Sri Lanka,1,57,9,7.6,Barbados,195,75,65.0
85386,2477,Australia,Pakistan,0,68,5,4.74,Dubai,89,34,65.0
14865,200,Australia,Australia,1,37,9,11.1,Johannesburg,196,100,62.0
61459,2241,New Zealand,Sri Lanka,0,0,10,0.0,Johannesburg,164,119,59.0
95591,2589,Pakistan,Pakistan,1,111,7,7.48,Colombo,175,31,57.0
91562,2552,Pakistan,Pakistan,2,74,7,7.53,Mirpur,190,61,56.0
81483,2434,Pakistan,Pakistan,1,1,10,6.0,Colombo,149,119,52.0
23776,433,Sri Lanka,England,2,18,9,5.4,Cardiff,111,100,50.0
84989,2474,England,England,4,103,7,11.04,Auckland,214,64,50.0
26779,473,Australia,West Indies,1,40,10,8.28,Gros Islet,141,91,49.0
62103,2246,Pakistan,Sri Lanka,0,22,9,6.95,Johannesburg,189,101,46.0
20788,405,Pakistan,New Zealand,0,55,7,6.88,Hamilton,163,72,48.0
95834,2605,Australia,Australia,1,111,4,7.74,Durban,157,34,28.0
91767,2555,Sri Lanka,Sri Lanka,1,20,10,10.91,Chittagong,119,109,27.0
47706,1327,England,Pakistan,1,1,10,2.0,Birmingham,183,117,27.0
59431,2220,South Africa,New Zealand,1,103,7,7.92,Johannesburg,133,42,27.0
92812,2563,Sri Lanka,Sri Lanka,1,93,6,8.58,Chittagong,168,55,26.0
36744,766,New Zealand,Pakistan,1,35,9,6.56,Sydney,152,88,26.0
33629,617,West Indies,India,0,70,8,7.12,Kolkata,157,61,26.0
54441,1735,West Indies,England,6,123,2,8.29,Bridgetown,182,31,26.0
79588,2417,New Zealand,New Zealand,5,5,10,6.0,Pallekele,191,115,27.0
47610,1257,India,West Indies,4,36,8,6.75,Lauderhill,165,88,27.0
43931,1072,West Indies,South Africa,1,152,3,10.25,Johannesburg,220,31,27.0
5021,56,Pakistan,New Zealand,1,85,2,4.95,Wellington,105,17,27.0
26198,468,South Africa,West Indies,1,119,7,8.81,St George's,167,39,27.0
63317,2255,New Zealand,Pakistan,0,118,3,6.68,Cape Town,143,14,27.0
40435,985,New Zealand,Pakistan,1,84,8,8.26,Christchurch,163,59,27.0
36635,764,Bangladesh,Pakistan,0,49,9,6.68,Adelaide,127,76,29.0
81322,2432,West Indies,West Indies,1,103,4,7.36,Pallekele,139,36,30.0
99683,2653,Pakistan,Pakistan,0,30,10,4.5,Kolkata,118,80,30.0
63979,2261,Australia,Australia,1,70,8,8.57,Mumbai,166,71,31.0
6852,75,India,South Africa,0,58,7,7.25,Centurion,188,72,31.0
65664,2278,Australia,New Zealand,1,14,10,7.0,Sydney,150,108,33.0
18698,279,Pakistan,England,0,119,8,8.5,Manchester,195,36,33.0
91667,2553,India,India,0,46,8,7.26,Mirpur,159,82,34.0
42395,1009,Sri Lanka,Pakistan,0,53,6,6.91,Dubai,170,74,33.0
2424,24,West Indies,West Indies,1,34,6,3.92,Abu Dhabi,103,68,33.0
93311,2569,Pakistan,Pakistan,0,47,4,4.48,Dubai,96,57,32.0
11357,130,Bangladesh,West Indies,0,65,9,9.51,Dhaka,211,79,32.0
45904,1220,South Africa,Australia,1,95,6,8.03,Durban,164,49,29.0
54301,1734,South Africa,West Indies,0,23,10,4.76,Tarouba,108,91,31.0
31706,582,England,New Zealand,2,28,10,7.3,Abu Dhabi,166,97,30.0
28308,506,Bangladesh,Australia,1,98,4,6.12,Dhaka,127,24,29.0
95067,2585,South Africa,South Africa,0,95,10,9.34,Mirpur,169,59,30.0
81597,2434,Pakistan,Pakistan,0,136,5,7.29,Colombo,149,8,29.0
66584,2289,Pakistan,Pakistan,2,83,8,8.16,London,175,59,30.0
21085,407,New Zealand,Australia,0,140,5,8.32,Christchurch,184,19,30.0
80652,2427,India,India,0,50,9,8.33,Colombo,140,84,30.0
64861,2271,Pakistan,Bangladesh,0,64,8,10.11,Karachi,203,82,33.0
10562,123,Australia,India,2,115,3,6.45,Melbourne,132,13,32.0
82868,2455,South Africa,India,0,37,9,9.25,Johannesburg,219,96,32.0
53024,1645,Pakistan,New Zealand,2,54,9,8.53,Lahore,178,82,33.0
72157,2341,New Zealand,Pakistan,1,87,6,6.44,Barbados,133,39,28.0
24005,435,South Africa,Pakistan,0,0,10,0.0,Johannesburg,188,119,27.0
68123,2302,Pakistan,Pakistan,1,159,5,7.95,London,159,0,27.0
36363,760,Pakistan,South Africa,1,28,9,8.84,Sydney,185,101,27.0
60991,2236,West Indies,West Indies,0,24,9,5.33,Johannesburg,164,93,25.0
33873,619,India,West Indies,4,58,9,7.73,Kolkata,184,75,26.0
25885,466,South Africa,West Indies,0,32,10,10.11,St George's,160,101,26.0
86897,2497,South Africa,South Africa,0,23,7,3.94,Colombo,115,85,25.0
35330,715,Pakistan,Australia,0,142,4,7.89,Lahore,162,12,25.0
33444,616,India,New Zealand,4,8,10,16.0,Kolkata,184,117,25.0
53197,1692,Australia,Pakistan,0,64,7,9.14,Sydney,147,78,25.0
73075,2349,Sri Lanka,Sri Lanka,0,11,9,5.5,St Lucia,128,108,23.0
78133,2401,South Africa,South Africa,1,29,9,8.29,Auckland,165,99,23.0
74487,2360,Pakistan,Pakistan,0,96,7,7.78,Dubai,153,46,24.0
47794,1327,England,Pakistan,1,145,7,9.56,Birmingham,183,29,24.0
42039,1006,India,Pakistan,1,101,7,9.04,Dubai,181,53,24.0
78223,2401,South Africa,South Africa,0,148,3,8.15,Auckland,165,11,23.0
9346,110,Pakistan,Australia,6,93,8,8.72,Harare,194,56,23.0
2521,25,New Zealand,Australia,0,18,7,4.15,Sydney,117,94,23.0
14453,176,Pakistan,Pakistan,6,103,2,5.89,Perth,106,15,26.0
40115,982,Pakistan,New Zealand,0,123,5,6.53,Christchurch,130,7,30.0
32931,611,Bangladesh,Pakistan,0,96,4,5.65,Dhaka,127,18,31.0
47958,1329,Australia,England,6,23,10,12.55,Southampton,179,109,31.0
47765,1327,England,Pakistan,0,96,8,9.29,Birmingham,183,58,32.0
99191,2649,England,West Indies,1,49,9,8.17,Mumbai,182,84,28.0
72688,2345,Pakistan,South Africa,1,143,4,7.46,St Lucia,148,5,27.0
63356,2256,India,India,0,19,10,4.75,Durban,188,96,28.0
56682,1829,New Zealand,Sri Lanka,1,58,7,6.44,Mount Maunganui,172,66,28.0
91821,2555,Sri Lanka,Sri Lanka,1,61,7,5.81,Chittagong,119,57,27.0
20488,402,New Zealand,West Indies,0,15,10,6.0,Mount Maunganui,238,105,29.0
25820,465,India,Sri Lanka,2,48,5,3.74,Colombo,81,43,28.0
5587,64,England,Australia,1,110,8,11.19,Birmingham,221,61,29.0
86551,2487,India,Pakistan,2,85,8,7.61,Ahmedabad,192,53,29.0
63542,2257,India,Pakistan,2,107,7,7.55,Johannesburg,157,35,29.0
24932,445,England,West Indies,0,41,4,3.73,Bridgetown,103,54,33.0
77737,2395,Australia,India,1,160,7,8.57,Sydney,171,8,34.0
85871,2481,Sri Lanka,Sri Lanka,0,92,7,6.57,Melbourne,161,36,34.0
11565,131,West Indies,West Indies,0,189,1,10.04,Dhaka,190,7,38.0
70324,2322,New Zealand,New Zealand,0,111,7,7.09,Colombo,141,26,39.0
44693,1138,India,Sri Lanka,1,135,5,7.43,Mumbai,162,11,26.0
22222,420,South Africa,England,4,77,7,6.6,Cape Town,191,50,26.0
20235,392,Australia,India,3,194,5,9.7,Sydney,194,0,26.0
45998,1221,South Africa,Australia,1,55,8,8.05,Durban,190,79,29.0
41479,999,Pakistan,England,0,139,1,7.45,Lahore,145,8,30.0
86934,2497,South Africa,South Africa,1,56,6,4.67,Colombo,115,48,31.0
56751,1829,New Zealand,Sri Lanka,0,170,4,8.72,Mount Maunganui,172,3,35.0
85737,2480,Australia,Sri Lanka,1,77,7,6.08,Sydney,137,44,34.0
64186,2263,West Indies,West Indies,0,4,10,3.0,Johannesburg,131,112,32.0
96602,2613,India,India,4,165,8,9.25,Melbourne,184,13,37.0
68506,2306,Sri Lanka,West Indies,0,11,10,4.4,London,158,105,39.0
102765,2697,Sri Lanka,Australia,1,114,3,6.39,Colombo,128,13,35.0
91570,2552,Pakistan,Pakistan,3,82,7,7.34,Mirpur,190,53,36.0
38064,861,England,Australia,1,31,10,9.79,Perth,208,101,36.0
7809,84,India,Sri Lanka,4,169,6,8.67,Colombo,174,3,39.0
67841,2300,England,India,0,97,7,6.61,London,153,32,38.0
87552,2502,Australia,England,1,97,8,8.82,Sydney,195,54,37.0
36011,755,India,South Africa,1,33,8,5.66,Perth,133,85,37.0
73008,2348,West Indies,Australia,1,62,5,6.0,St Lucia,105,58,38.0
67826,2300,England,India,1,84,8,6.81,London,153,46,44.0
57719,1914,India,South Africa,0,201,3,10.05,Durban,202,0,44.0
98718,2630,Pakistan,Pakistan,1,136,4,6.8,Harare,136,0,45.0
102542,2696,Australia,Australia,1,5,10,3.0,Pallekele,263,110,44.0
89463,2524,West Indies,West Indies,1,86,6,6.7,Wellington,159,43,40.0
40463,985,New Zealand,Pakistan,6,129,7,8.7,Christchurch,163,31,44.0
85193,2476,New Zealand,England,1,12,10,4.5,Wellington,139,104,44.0
32908,611,Bangladesh,Pakistan,2,65,5,4.81,Dhaka,127,39,45.0
19794,367,West Indies,West Indies,2,90,9,9.0,Kandy,196,60,42.0
32002,584,New Zealand,Australia,2,76,9,6.81,Dubai,172,53,42.0
85895,2481,Sri Lanka,Sri Lanka,0,130,6,7.22,Melbourne,161,12,42.0
36810,766,New Zealand,Pakistan,0,117,6,7.16,Sydney,152,22,38.0
3057,29,New Zealand,Australia,1,103,10,10.84,Auckland,243,63,38.0
33696,617,West Indies,India,1,155,4,7.82,Kolkata,157,1,38.0
60156,2226,Australia,England,0,110,8,11.38,Sydney,221,62,32.0
49529,1345,Australia,New Zealand,1,42,9,12.0,Auckland,174,99,32.0
22868,425,Pakistan,South Africa,1,99,5,6.19,Lahore,144,24,32.0
40204,983,New Zealand,Bangladesh,6,122,9,9.51,Christchurch,208,43,33.0
48885,1340,New Zealand,Pakistan,0,13,10,8.67,Hamilton,194,111,33.0
101730,2684,India,Bangladesh,0,9,9,4.15,Dhaka,166,107,33.0
102290,2691,Pakistan,Pakistan,1,80,6,5.22,Mirpur,129,28,34.0
5221,58,Pakistan,New Zealand,0,66,8,7.2,Mount Maunganui,181,65,30.0
45282,1143,India,New Zealand,6,125,8,10.14,Ahmedabad,234,46,32.0
76021,2382,India,India,0,18,10,7.2,Durban,168,105,32.0
4557,52,Sri Lanka,India,1,100,6,8.7,Colombo,170,51,31.0
23702,432,Sri Lanka,England,1,70,6,6.27,Cardiff,129,53,26.0
64264,2263,West Indies,West Indies,1,73,5,5.21,Johannesburg,131,36,26.0
58103,1917,India,South Africa,2,253,9,13.93,Johannesburg,283,11,24.0
36547,762,Sri Lanka,England,4,100,7,7.79,Sydney,141,43,24.0
38891,868,India,West Indies,1,25,10,8.82,Lauderhill,188,103,23.0
56298,1826,India,Sri Lanka,0,98,8,12.0,Kandy,213,71,27.0
40021,982,Pakistan,New Zealand,0,30,10,7.2,Christchurch,130,95,24.0
21996,418,South Africa,England,0,128,7,8.35,Cape Town,179,28,23.0
31311,575,Sri Lanka,West Indies,1,1,10,3.0,Abu Dhabi,189,118,22.0
25614,463,India,Sri Lanka,2,161,5,8.19,Colombo,164,2,22.0
92222,2558,Sri Lanka,West Indies,1,108,6,7.04,Mirpur,160,28,21.0
43383,1056,England,New Zealand,1,185,6,9.74,Manchester,198,6,24.0
55654,1805,England,India,1,36,8,8.64,Kolkata,132,95,25.0
